ID,Type,SKU,Name,Published,Is featured,Visibility,Short description,Description,Date sale price starts,Date sale price ends,Sale price,Regular price,Weight,Length,Width,Height,Shipping class,Images,Download limit,Download expiry,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 Name,Attribute 1 Value(s),Attribute 2 Name,Attribute 2 Value(s),Meta: _yoast_wpseo_focuskw,Category IDs,Tag IDs,Shipping class ID
,simple,,ألق هادئة,1,0,visible,"لوحة فنية جميلة بألوان هادئة وجذابة","لوحة فنية عالية الجودة برسمها فنانة ماهرة، تتميز بألوان هادئة وتصميم متناسق يضيف لمسة فنية رائعة إلى أي مساحة.",,,1200,1200,,,,,,https://images.unsplash.com/photo-1578926078328-123456789018?w=500&h=500&fit=crop,,,,,,,0,الحجم,80 × 60 سم,النوع,لوحة زيتية,,,1
,simple,,غروب في البحر,1,0,visible,"لوحة غروب الشمس على البحر بألوان دافئة وساحرة","لوحة فنية تصور غروب الشمس على البحر بألوان ذهبية وحمراء ساحرة، تثير المشاعر والذكريات الجميلة.",,,1400,1400,,,,,,https://images.unsplash.com/photo-1578926078328-123456789019?w=500&h=500&fit=crop,,,,,,,0,الحجم,70 × 100 سم,النوع,لوحة زيتية,,,1
,simple,,زهور بيضاء,1,0,visible,"باقة زهور بيضاء بتصميم أنيق وراقي","لوحة فنية تصور باقة زهور بيضاء في إناء جميل، تتميز برقة الألوان والتفاصيل الدقيقة.",,,900,900,,,,,,https://images.unsplash.com/photo-1578926078328-123456789020?w=500&h=500&fit=crop,,,,,,,0,الحجم,70 × 50 سم,النوع,لوحة أكريليك,,,1
,simple,,مساء ساحر,1,0,visible,"لوحة مساء ساحر بإضاءة جميلة وتصميم متقن","لوحة فنية تصور مساء ساحر مع إضاءة جميلة وسحابات ملونة، تعطي شعور بالهدوء والجمال.",,,1100,1100,,,,,,https://images.unsplash.com/photo-1578926078328-123456789021?w=500&h=500&fit=crop,,,,,,,0,الحجم,80 × 100 سم,النوع,لوحة زيتية,,,1
,simple,,تناغم الألوان,1,0,visible,"لوحة تجريدية بألوان متناغمة وجريئة","لوحة فنية تجريدية تجمع بين الألوان الجريئة والمتناغمة، تعكس عمق الخيال والإبداع.",,,1600,1600,,,,,,https://images.unsplash.com/photo-1578926078328-123456789022?w=500&h=500&fit=crop,,,,,,,0,الحجم,100 × 80 سم,النوع,لوحة أكريليك,,,1
,simple,,رحلة صحراوية,1,0,visible,"لوحة الصحراء بألوانها الدافئة والغامضة","لوحة فنية تصور رحلة في الصحراء بألوان رملية دافئة وسماء ليلية عميقة.",,,1300,1300,,,,,,https://images.unsplash.com/photo-1578926078328-123456789023?w=500&h=500&fit=crop,,,,,,,0,الحجم,90 × 70 سم,النوع,لوحة زيتية,,,2
,simple,,غابة خضراء,1,0,visible,"لوحة الطبيعة الخضراء بألوانها الحية","لوحة فنية تصور غابة خضراء كثيفة مع أشعة الشمس تخترقها بشكل سحري.",,,1050,1050,,,,,,https://images.unsplash.com/photo-1578926078328-123456789024?w=500&h=500&fit=crop,,,,,,,0,الحجم,75 × 60 سم,النوع,لوحة أكريليك,,,2
,simple,,خط عربي جميل,1,0,visible,"لوحة الخط العربي بتصميم معاصر وأنيق","لوحة فنية تجمع بين الخط العربي الأصيل والتصميم المعاصر الحديث.",,,950,950,,,,,,https://images.unsplash.com/photo-1578926078328-123456789025?w=500&h=500&fit=crop,,,,,,,0,الحجم,60 × 60 سم,النوع,خط عربي,,,3
,simple,,حصان أسود,1,0,visible,"لوحة الحصان الأسود بقوة وجمال","لوحة فنية تصور حصان أسود جميل يركض في الحقول الخضراء الشاسعة.",,,1450,1450,,,,,,https://images.unsplash.com/photo-1578926078328-123456789026?w=500&h=500&fit=crop,,,,,,,0,الحجم,85 × 70 سم,النوع,لوحة زيتية,,,4
,simple,,مدينة ليلية,1,0,visible,"لوحة المدينة الليلية بأضوائها الساحرة","لوحة فنية تصور مدينة حديثة في الليل مع أضواء زاهية وحياة سريعة.",,,1200,1200,,,,,,https://images.unsplash.com/photo-1578926078328-123456789027?w=500&h=500&fit=crop,,,,,,,0,الحجم,80 × 60 سم,النوع,لوحة أكريليك,,,2
,simple,,فراشات ملونة,1,0,visible,"لوحة الفراشات الملونة برقة وجمال","لوحة فنية تصور مجموعة فراشات ملونة جميلة على زهور متفتحة.",,,800,800,,,,,,https://images.unsplash.com/photo-1578926078328-123456789028?w=500&h=500&fit=crop,,,,,,,0,الحجم,50 × 40 سم,النوع,لوحة أكريليك,,,4
